student_id,attendance_percentage,study_hours_per_week,study_hours_group,assignment_average,final_marks
S001,87.1,25.5,High,80.8,88.8
S002,63.7,20.8,High,67.4,69.0
S003,61.8,21.8,High,77.7,75.8
S004,74.9,26.2,High,90.0,75.0
S005,78.3,28.8,High,89.3,82.7
S006,68.7,28.7,High,75.4,78.0
S007,92.9,6.4,Low,69.9,62.4
S008,79.4,12.3,Medium,78.9,80.0
S009,69.2,27.1,High,74.0,63.4
S010,84.9,24.4,High,89.3,93.4
S011,93.7,9.5,Medium,79.3,82.1
S012,59.2,15.8,Medium,62.8,51.1
S013,76.6,20.8,High,86.0,71.1
S014,77.7,29.9,High,90.4,85.4
S015,65.9,19.7,High,70.0,68.5
S016,84.2,13.0,Medium,79.6,71.2
S017,76.1,25.3,High,77.9,68.4
S018,80.8,14.2,Medium,80.6,68.5
S019,71.7,3.6,Low,62.2,52.3
S020,75.2,23.4,High,72.6,80.2
S021,87.0,24.7,High,85.8,83.3
S022,73.4,13.1,Medium,66.7,58.7
S023,68.2,11.4,Medium,74.5,72.0
S024,83.9,2.5,Low,62.6,59.2
S025,86.1,13.7,Medium,78.2,80.9
S026,67.0,12.7,Medium,72.8,61.5
S027,87.5,13.1,Medium,68.4,65.8
S028,58.1,24.0,High,80.1,72.7
S029,95.5,8.0,Medium,74.0,63.5
S030,57.2,25.1,High,67.9,73.0
S031,80.1,21.6,High,73.1,79.2
S032,90.7,4.9,Low,65.6,55.3
S033,77.7,4.2,Low,70.3,62.6
S034,86.7,9.1,Medium,75.1,68.4
S035,84.2,13.5,Medium,83.1,82.5
S036,92.5,11.6,Medium,71.7,62.2
S037,60.9,29.1,High,76.1,79.2
S038,65.4,19.4,High,69.4,61.1
S039,88.6,19.0,High,88.3,76.5
S040,67.2,3.8,Low,57.0,61.4
S041,80.4,15.3,Medium,72.8,73.9
S042,86.0,6.4,Low,63.0,53.9
S043,91.8,22.5,High,80.8,73.4
S044,68.8,21.0,High,79.9,67.8
S045,69.8,8.6,Medium,73.4,65.7
S046,97.3,8.8,Medium,78.2,74.7
S047,96.9,12.2,Medium,74.3,78.3
S048,97.9,16.2,Medium,79.5,68.6
S049,75.0,27.9,High,81.3,76.6
S050,80.4,8.7,Medium,63.8,61.0
S051,98.5,26.4,High,87.4,91.4
S052,92.4,18.3,High,79.7,70.6
S053,86.7,21.2,High,77.7,68.1
S054,60.1,25.2,High,82.4,74.7
S055,82.5,21.8,High,75.8,73.8
S056,75.2,26.3,High,77.0,81.2
S057,61.4,19.1,High,78.0,61.2
S058,76.8,2.1,Low,63.7,57.2
S059,98.2,15.6,Medium,88.4,87.1
S060,92.9,11.8,Medium,70.5,71.3
S061,60.1,19.5,High,66.5,64.2
S062,89.5,28.9,High,84.7,76.6
S063,73.9,29.3,High,80.4,76.8
S064,72.2,3.7,Low,63.9,53.4
S065,76.2,22.7,High,82.5,71.7
S066,84.1,17.0,Medium,82.3,66.3
S067,67.6,20.8,High,76.2,70.4
S068,78.8,19.3,High,81.8,82.4
S069,90.0,27.4,High,89.6,79.3
S070,71.6,26.1,High,85.3,81.3
S071,60.7,6.5,Low,63.9,54.4
S072,63.5,29.2,High,76.3,81.0
S073,83.0,28.7,High,91.4,80.1
S074,65.2,26.2,High,77.7,72.8
S075,88.6,18.9,High,84.6,79.8
S076,67.4,22.2,High,70.4,71.5
S077,90.8,6.0,Low,63.6,69.9
S078,63.4,16.9,Medium,67.3,55.1
S079,66.6,4.1,Low,67.1,63.8
S080,90.3,6.1,Low,68.7,56.8
S081,93.2,29.3,High,98.2,99.6
S082,82.6,15.9,Medium,70.5,58.6
S083,82.9,28.9,High,94.8,86.7
S084,78.5,26.7,High,80.4,82.0
S085,82.0,14.1,Medium,73.2,62.1
S086,61.6,10.3,Medium,72.6,69.5
S087,55.4,23.2,High,67.2,64.4
S088,96.4,27.4,High,96.8,100
S089,83.4,2.9,Low,62.6,61.8
S090,81.8,27.5,High,80.4,86.0
S091,81.0,18.6,High,72.2,66.8
S092,78.1,23.1,High,83.7,80.9
S093,87.0,11.9,Medium,72.3,78.1
S094,85.2,17.7,Medium,86.4,86.7
S095,87.4,29.4,High,87.3,93.0
S096,81.0,13.9,Medium,72.9,59.4
S097,94.9,29.3,High,89.7,96.5
S098,60.9,14.9,Medium,76.1,69.5
S099,62.1,19.8,High,65.0,66.0
S100,81.4,20.0,High,82.3,68.7
S101,94.7,23.4,High,93.2,82.3
S102,65.2,22.2,High,82.3,75.7
S103,65.9,14.4,Medium,65.4,60.4
S104,98.2,21.0,High,81.4,88.2
S105,94.5,13.3,Medium,70.7,72.8
S106,69.6,5.6,Low,70.4,59.6
S107,62.4,9.9,Medium,72.7,60.2
S108,76.2,9.0,Medium,62.2,51.5
S109,57.7,14.8,Medium,65.9,63.6
S110,92.5,26.5,High,82.8,82.8
S111,61.4,10.3,Medium,62.9,54.6
S112,93.0,13.9,Medium,73.2,73.0
S113,66.7,27.4,High,74.0,64.1
S114,57.9,10.3,Medium,68.0,51.0
S115,82.4,27.1,High,81.2,83.6
S116,87.6,29.0,High,94.5,91.7
S117,74.1,12.3,Medium,64.7,52.2
S118,84.0,9.9,Medium,66.8,63.2
S119,61.5,19.8,High,79.6,68.4
S120,56.5,6.7,Low,57.1,58.5
S121,97.5,19.0,High,82.7,71.8
S122,92.7,2.7,Low,65.8,66.9
S123,86.2,7.2,Low,78.8,74.1
S124,86.0,8.5,Medium,76.6,60.5
S125,82.1,2.6,Low,70.4,64.9
S126,80.6,12.4,Medium,77.6,61.6
S127,61.9,2.3,Low,60.5,43.8
S128,55.3,25.9,High,72.1,64.3
S129,92.4,12.4,Medium,82.7,86.4
S130,59.8,8.6,Medium,55.0,46.0
S131,81.7,29.5,High,91.9,90.8
S132,61.6,28.0,High,77.9,78.3
S133,63.8,29.3,High,79.0,70.2
S134,93.8,20.6,High,82.7,78.7
